"StudentID","Name","gender","grade","SchoolType","College/Faculty"
S172,刘诗瑶,女,大二,公立,文法学院
S173,朱宇轩,男,大一,公立,医学院
S174,马雨欣,女,大二,公立,理工学院
S175,胡文博,男,大三,公立,设计学院
S176,何思彤,女,大二,公立,商管学院
S177,罗俊豪,男,大三,公立,文法学院
S178,梁佳怡,女,大二,公立,医学院
S179,谢文博,男,大一,公立,理工学院
S180,宋语汐,女,大三,公立,设计学院
S181,韩泽宇,男,大三,公立,商管学院
S182,曹诗涵,女,大二,公立,文法学院
S183,邓宇轩,男,大三,公立,医学院
S184,彭思琪,女,大二,公立,理工学院
S185,曾文博,男,大三,公立,设计学院
S186,肖语桐,女,大二,公立,商管学院
S187,田俊豪,男,大一,公立,文法学院
S188,董思瑶,女,大二,公立,医学院
S189,袁文博,男,大三,公立,理工学院
S190,潘雨欣,女,大三,公立,设计学院
S191,蔡俊豪,男,大三,公立,商管学院
S192,蒋思彤,女,大二,公立,文法学院
S193,余文博,男,大三,公立,医学院
S194,叶佳怡,女,大二,公立,理工学院
S195,程泽宇,男,大一,公立,设计学院
S196,苏语汐,女,大二,公立,商管学院
S197,魏俊豪,男,大三,公立,文法学院
S198,薛诗涵,女,大三,公立,医学院
S199,薛宇轩,男,大二,公立,理工学院
S200,叶思琪,女,大二,公立,设计学院
S201,林泽宇,男,大一,公立,商管学院
S202,钟语桐,女,大四,公立,文法学院
S203,卢文博,男,大二,公立,医学院
S204,徐思瑶,女,大二,公立,理工学院
S205,陈俊豪,男,大一,公立,设计学院
S206,邓雨欣,女,大三,公立,商管学院
S207,林俊辉,男,大三,公立,文法学院
S208,周思彤,女,大二,公立,医学院
S209,吴浩宇,男,大一,公立,理工学院
S210,郑佳怡,女,大三,公立,设计学院
S211,赵文博,男,大三,公立,商管学院
S212,孙语汐,女,大一,公立,文法学院
S213,刘泽豪,男,大二,公立,医学院
S214,朱诗涵,女,大三,公立,理工学院
S215,马俊豪,男,大二,公立,设计学院
S216,胡思琪,女,大二,公立,商管学院
S217,何宇轩,男,大一,公立,文法学院
S218,罗语桐,女,大四,公立,医学院
S219,梁博文,男,大二,公立,理工学院
S220,谢思瑶,女,大一,公立,设计学院
S221,宋泽宇,男,大三,公立,商管学院
S222,韩雨欣,女,大二,公立,文法学院
S223,曹俊豪,男,大三,公立,医学院
S224,邓思彤,女,大二,公立,理工学院
S225,彭文博,男,大三,公立,设计学院
S226,曾佳怡,女,大二,公立,商管学院
S227,肖泽宇,男,大一,公立,文法学院
S228,田语汐,女,大二,公立,医学院
S229,董俊豪,男,大三,公立,理工学院
S230,袁诗涵,女,大一,公立,设计学院
S231,潘宇轩,男,大三,公立,商管学院
S232,蔡思琪,女,大二,公立,文法学院
S233,蒋文博,男,大三,公立,医学院
S234,余语桐,女,大二,公立,理工学院
S235,叶泽豪,男,大三,公立,设计学院
S236,程思瑶,女,大一,公立,商管学院
S237,苏俊豪,男,大二,公立,文法学院
S238,魏雨欣,女,大三,公立,医学院
S239,薛文博,男,大三,公立,理工学院
S240,林思彤,女,大二,公立,设计学院
S241,钟泽宇,男,大三,公立,商管学院
S242,卢佳怡,女,大二,公立,文法学院
S243,徐文博,男,大一,公立,医学院
S244,陈语汐,女,大二,公立,理工学院
S245,邓俊豪,男,大三,公立,设计学院
S246,林诗涵,女,大二,公立,商管学院
S247,周宇轩,男,大一,公立,文法学院
S248,吴思琪,女,大四,公立,医学院
S249,郑文博,男,大二,公立,理工学院
S250,赵语桐,女,大三,公立,设计学院
S251,孙俊豪,男,大三,公立,商管学院
S252,刘诗瑶,女,大二,公立,文法学院
S253,朱宇轩,男,大一,公立,医学院
S254,马雨欣,女,大二,公立,理工学院
S255,胡文博,男,大三,公立,设计学院
S256,何思彤,女,大二,公立,商管学院
S257,罗俊豪,男,大三,公立,文法学院
S258,梁佳怡,女,大二,公立,医学院
S259,谢文博,男,大一,公立,理工学院
S260,宋语汐,女,大三,公立,设计学院
S261,韩泽宇,男,大三,公立,商管学院
S262,曹诗涵,女,大二,公立,文法学院
S263,邓宇轩,男,大三,公立,医学院
S264,彭思琪,女,大二,公立,理工学院
S265,曾文博,男,大三,公立,设计学院
S266,肖语桐,女,大二,公立,商管学院
S267,田俊豪,男,大一,公立,文法学院
S268,董思瑶,女,大二,公立,医学院
S269,袁文博,男,大三,公立,理工学院
S270,潘雨欣,女,大三,公立,设计学院
S271,林佳怡,女,大二,公立,商管学院
S272,陈语汐,女,大一,公立,商管学院
S273,刘浩然,男,大四,公立,医学院
S274,赵俊豪,男,大四,公立,商管学院
S275,王思琪,女,大二,公立,理工学院
S276,李语桐,女,大三,公立,商管学院
S277,张浩宇,男,大一,公立,商管学院
S278,周思瑶,女,大四,公立,医学院
S279,吴文博,男,大一,公立,医学院
S280,郑雨欣,女,大四,公立,设计学院
S281,孙诗涵,女,大二,公立,商管学院
S282,刘晓鹏,男,大二,公立,商管学院
S283,朱思彤,女,大三,公立,商管学院
S284,马佳怡,女,大三,公立,私立
S285,胡俊豪,男,大二,公立,理工学院
S286,何语桐,女,大二,公立,医学院
S287,罗宇轩,男,大一,公立,商管学院
S288,梁博文,男,大三,公立,理工学院
S289,谢思琪,女,大二,公立,商管学院
S290,宋浩然,男,大三,公立,医学院
S291,韩语汐,女,大一,公立,商管学院
S292,曹俊豪,男,大三,公立,理工学院
S293,邓诗涵,女,大一,公立,设计学院
S294,彭思彤,女,大三,公立,理工学院
S295,曾宇轩,男,大一,公立,理工学院
S296,肖佳怡,女,大三,公立,商管学院
S297,田语桐,女,大二,公立,设计学院
S298,董浩然,男,大三,公立,商管学院
S299,袁思瑶,女,大二,公立,文法学院
S300,潘佳怡,女,大三,公立,商管学院
